         73065575 function calls (72108445 primitive calls) in 193.787 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  630/408    0.002    0.000    1.689    0.004 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typeinfer.py:570(__call__)
  137/114    0.000    0.000    1.610    0.014 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/types/functions.py:534(get_call_type)
  137/114    0.000    0.000    1.608    0.014 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/dispatcher.py:348(get_call_template)
       48    0.001    0.000    1.503    0.031 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/np/ufunc/array_exprs.py:354(_lower_array_expr)
  240/224    0.001    0.000    1.397    0.006 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/base.py:844(compile_subroutine)
    55/53    0.001    0.000    1.393    0.026 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/base.py:806(_compile_subroutine_no_cache)
       70    0.001    0.000    1.389    0.020 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/codegen.py:739(finalize)
  581/426    0.000    0.000    1.381    0.003 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/codegen.py:565(_ensure_finalized)
    55/53    0.000    0.000    1.251    0.024 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/compiler.py:837(compile_internal)
       14    0.000    0.000    1.235    0.088 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/cpu.py:225(get_executable)
       14    0.000    0.000    1.234    0.088 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/codegen.py:975(get_pointer_to_function)
2814/2645    0.027    0.000    1.093    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/types/functions.py:281(get_call_type)
17044/16220    0.013    0.000    0.900    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typing/templates.py:349(apply)
       70    0.000    0.000    0.879    0.013 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/codegen.py:667(_optimize_final_module)
      140    0.000    0.000    0.879    0.006 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/binding/passmanagers.py:668(run)
        2    0.832    0.416    0.834    0.417 /Users/lilli/Desktop/ISSI_code/model/field/utility/seehafer.py:4(mirror_magnetogram)
        1    0.000    0.000    0.704    0.704 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/mpl_toolkits/mplot3d/axes3d.py:439(draw)
1479/1266    0.002    0.000    0.698    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typing/templates.py:607(generic)
1479/1266    0.003    0.000    0.693    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typing/templates.py:698(_get_impl)
        2    0.635    0.317    0.681    0.341 /Users/lilli/Desktop/ISSI_code/model/field/utility/fft.py:4(fft_coeff_seehafer)
  916/837    0.001    0.000    0.636    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/base.py:1186(__call__)
  916/837    0.001    0.000    0.634    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/base.py:1215(wrapper)
       90    0.001    0.000    0.618    0.007 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/codegen.py:723(add_ir_module)
    39/20    0.000    0.000    0.607    0.030 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typing/templates.py:749(_build_impl)
  192/190    0.000    0.000    0.568    0.003 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/base.py:873(compile_internal)
    80/72    0.000    0.000    0.464    0.006 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/types/functions.py:389(get_call_type)
    18/15    0.000    0.000    0.463    0.031 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typing/templates.py:1076(_get_signature)
    13/11    0.000    0.000    0.463    0.042 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typing/templates.py:1134(generic)
      621    0.005    0.000    0.457    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/postproc.py:71(run)
       70    0.000    0.000    0.453    0.006 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/codegen.py:781(_finalize_final_module)
     1981    0.002    0.000    0.436    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:57(pformat)
       53    0.001    0.000    0.436    0.008 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/np/npyimpl.py:335(numpy_ufunc_kernel)
     1981    0.002    0.000    0.432    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:156(pformat)
46292/1981    0.033    0.000    0.428    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:168(_format)
       70    0.000    0.000    0.395    0.006 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/codegen.py:996(_finalize_specific)
      640    0.003    0.000    0.382    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/mpl_toolkits/mplot3d/axes3d.py:1584(plot)
4587/2860    0.006    0.000    0.369    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/functools.py:981(__get__)
       90    0.000    0.000    0.367    0.004 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/codegen.py:1058(wrapper)
       70    0.000    0.000    0.367    0.005 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/binding/executionengine.py:87(finalize_object)
     1670    0.003    0.000    0.357    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typeinfer.py:699(__call__)
    26340    0.060    0.000    0.349    0.000 {built-in method builtins.sorted}
420592/70187    0.251    0.000    0.337    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/ir.py:317(_rec_list_vars)
  253/237    0.001    0.000    0.329    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/lowering.py:915(lower_call)
  247/235    0.001    0.000    0.324    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/lowering.py:1157(_lower_call_normal)
      396    0.001    0.000    0.307    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/ir/module.py:233(__repr__)
      396    0.001    0.000    0.305    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/ir/module.py:207(_get_body_lines)
      396    0.001    0.000    0.304    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/ir/module.py:212(<listcomp>)
      535    0.000    0.000    0.297    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/ir/values.py:1013(__str__)
      535    0.000    0.000    0.295    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/ir/values.py:1006(descr)
    57742    0.012    0.000    0.292    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/ir.py:350(list_vars)
260141/125285    0.071    0.000    0.292    0.000 {method 'format' of 'str' objects}
       48    0.001    0.000    0.282    0.006 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/np/npyimpl.py:229(_build_array)
       98    0.001    0.000    0.280    0.003 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/ir/values.py:999(descr_body)
     3382    0.003    0.000    0.279    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/ir/values.py:1172(descr)
147490/62282    0.040    0.000    0.277    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/ir/_utils.py:44(__str__)
  336/326    0.004    0.000    0.276    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/lowering.py:741(lower_binop)
    89848    0.035    0.000    0.275    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:454(_repr)
     3382    0.006    0.000    0.273    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/ir/values.py:1174(<listcomp>)
     1912    0.003    0.000    0.261    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:206(_pprint_dict)
       90    0.000    0.000    0.260    0.003 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/codegen.py:732(add_llvm_module)
       69    0.000    0.000    0.254    0.004 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/untyped_passes.py:79(run_pass)
       69    0.003    0.000    0.254    0.004 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/interpreter.py:1352(interpret)
       90    0.002    0.000    0.250    0.003 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/codegen.py:651(_optimize_functions)
      690    0.037    0.000    0.247    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/analysis.py:23(compute_use_defs)
